,target_0,target_1,target_2,target_3,target_4
cluster_0,3.296402680891807,96.1427985227739,0.5607987963342909,0.0,0.0
cluster_1,14.16097793300524,59.3903794253056,26.321638355294493,0.07937767899666613,0.04762660739799968
cluster_2,92.42768930776731,6.174845628859278,1.3974650633734158,0.0,0.0
cluster_3,4.238950067883542,95.68813797958465,0.06285513149293508,0.010056821038869613,0.0
cluster_4,98.83855981416957,0.0,1.1614401858304297,0.0,0.0
cluster_5,81.76441596845737,0.06272682467852503,18.17285720686411,0.0,0.0
cluster_6,96.28482972136223,0.46439628482972134,1.5479876160990713,1.7027863777089782,0.0
cluster_7,17.626476162705934,72.66365359381834,0.7289692374981777,8.805948388977985,0.17495261699956263
cluster_8,0.0,10.837331007413868,89.16266899258613,0.0,0.0
cluster_9,0.0,15.64245810055866,84.35754189944134,0.0,0.0
cluster_10,98.37662337662337,0.0,1.6233766233766231,0.0,0.0
cluster_11,98.58956276445699,0.0,1.4104372355430184,0.0,0.0
cluster_12,0.0,99.90047550591618,0.09952449408382175,0.0,0.0
cluster_13,73.68972746331237,24.737945492662476,1.5723270440251573,0.0,0.0
cluster_14,95.5595026642984,0.0,4.440497335701599,0.0,0.0
cluster_15,84.37978560490046,11.638591117917304,3.9816232771822357,0.0,0.0
cluster_16,96.82080924855492,0.0,3.1791907514450863,0.0,0.0
cluster_17,98.39650145772595,0.0,1.6034985422740524,0.0,0.0
cluster_18,0.0,99.5016611295681,0.4983388704318937,0.0,0.0
cluster_19,98.71630295250321,0.0,1.2836970474967908,0.0,0.0
cluster_20,97.79816513761467,0.0,2.2018348623853212,0.0,0.0
cluster_21,89.43661971830986,6.690140845070422,3.873239436619718,0.0,0.0
cluster_22,55.88235294117647,38.91730605285593,1.3213981244671782,2.4296675191815855,1.4492753623188406
cluster_23,98.55670103092784,0.0,1.443298969072165,0.0,0.0
cluster_24,96.43605870020964,0.0,3.563941299790356,0.0,0.0
cluster_25,0.0,100.0,0.0,0.0,0.0
cluster_26,90.35369774919614,1.607717041800643,8.038585209003216,0.0,0.0
cluster_27,98.9100817438692,0.0,1.08991825613079,0.0,0.0
cluster_28,98.73015873015873,0.0,1.2698412698412698,0.0,0.0
cluster_29,96.6542750929368,0.0,3.3457249070631967,0.0,0.0
cluster_30,98.10126582278481,0.0,1.89873417721519,0.0,0.0
cluster_31,97.17391304347827,0.0,2.8260869565217392,0.0,0.0
cluster_32,97.05882352941177,0.0,2.941176470588235,0.0,0.0
cluster_33,98.15242494226328,0.0,1.8475750577367205,0.0,0.0
cluster_34,94.76082004555809,0.0,5.239179954441914,0.0,0.0
cluster_35,0.0,91.78082191780823,8.21917808219178,0.0,0.0
cluster_36,96.54510556621881,0.0,3.45489443378119,0.0,0.0
cluster_37,66.11990950226244,30.825791855203622,3.0542986425339365,0.0,0.0
cluster_38,95.57894736842105,0.0,4.421052631578947,0.0,0.0
cluster_39,93.62934362934364,0.0,6.370656370656371,0.0,0.0
cluster_40,27.910958904109588,52.3972602739726,1.7123287671232876,17.80821917808219,0.17123287671232876
cluster_41,98.25581395348837,0.0,1.744186046511628,0.0,0.0
cluster_42,25.37878787878788,70.45454545454545,4.166666666666666,0.0,0.0
cluster_43,0.0,100.0,0.0,0.0,0.0
cluster_44,97.9020979020979,0.0,1.6317016317016315,0.4662004662004662,0.0
cluster_45,95.85253456221197,0.0,4.147465437788019,0.0,0.0
cluster_46,94.90022172949001,0.0,5.099778270509978,0.0,0.0
cluster_47,98.29268292682927,0.0,1.707317073170732,0.0,0.0
cluster_48,96.8503937007874,0.0,3.149606299212598,0.0,0.0
cluster_49,98.67924528301887,0.0,1.3207547169811322,0.0,0.0
